RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  30    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   90  129     0     0  con    0  1.0E+00  6.7E-01  2.408E-01  9.661E-02
   91  130     0     0  con    0  1.0E+00  3.0E-01  3.378E-01  9.601E-02
   92  132     0     0  con    1  4.3E-01  1.1E+00  3.227E-01  9.523E-02
   93  135     0     0  con    2  1.9E+00  4.3E-01  4.677E-01  9.468E-02
   94  137     0     0  con    1  4.9E-01  1.3E+00  5.235E-01  9.414E-02
   95  139     0     0  con    1  5.2E-02  3.5E-01  1.530E-01  9.401E-02
   96  140     0     0  con    0  1.0E+00  1.5E+00  1.521E-01  9.356E-02
   97  142     0     0  con    1  1.2E-01  7.5E-01  1.199E-01  9.334E-02
   98  143     0     0  con    0  1.0E+00  9.5E-01  1.139E-01  9.316E-02
   99  144     0     0  con    0  1.0E+00  4.1E-01  9.768E-02  9.311E-02
  100  145     0     0  con    0  1.0E+00  1.2E+00  7.429E-02  9.293E-02
  101  146     0     0  con    0  1.0E+00  9.7E-01  3.927E-02  9.285E-02
  102  147     0     0  con    0  1.0E+00  1.2E+00  1.155E-01  9.280E-02
  103  148     0     0  con    0  1.0E+00  5.6E-02  6.017E-02  9.277E-02
  104  149     0     0  con    0  1.0E+00  1.2E-01  1.306E-02  9.276E-02
  105  150     0     0  con    0  1.0E+00  2.4E-01  4.706E-03  9.275E-02
  106  151     0     0  con    0  1.0E+00  8.6E-02  8.230E-03  9.275E-02
  107  153     0     0  con    1  5.1E-01  6.6E-02  1.863E-03  9.274E-02
  108  154     0     0  con    0  1.0E+00  6.2E-02  1.351E-02  9.274E-02
  109  155     0     0  con    0  1.0E+00  5.9E-02  5.393E-03  9.274E-02
  110  156     0     0  con    0  1.0E+00  1.8E-02  2.042E-03  9.274E-02
  111  157     0     0  con    0  1.0E+00  5.7E-02  9.098E-03  9.274E-02
  112  158     0     0  con    0  1.0E+00  7.3E-02  2.303E-02  9.274E-02
  113  159     0     0  con    0  1.0E+00  1.1E-01  4.732E-02  9.273E-02
  114  160     0     0  con    0  1.0E+00  1.3E-01  8.400E-02  9.272E-02
  115  161     0     0  con    0  1.0E+00  8.2E-02  1.350E-01  9.268E-02
  116  162     0     0  con    0  1.0E+00  3.6E-01  1.642E-01  9.260E-02
  117  163     0     0  con    0  1.0E+00  1.9E+00  3.460E-01  9.246E-02
  118  165     0     0  con    1  2.2E-01  1.1E+00  2.119E-01  9.235E-02
  119  166     0     0  con    0  1.0E+00  2.9E-01  6.273E-02  9.229E-02
  120  167     0     0  con    0  1.0E+00  2.1E-01  3.304E-02  9.225E-02
  121  168     0     0  con    0  1.0E+00  2.9E-01  1.350E-01  9.217E-02
